das Anführungszeichen 	 quotation mark 	 Direkte Rede wird in Anführungszeichen gesetzt. 	 	 n.nt
die Anlage 	 system, investment 	 Die Anlage arbeitet schon vollautomatisch. 	 	 n.f
die Anlaufstelle 	 contact point 	 Die erste Anlaufstelle für Besucher ist die Rezeption. 	 	 n.f
die Anmerkung 	 note, comment 	 Ich schrieb eine Anmerkung zu dem unbekannten Begriff. 	 	 n.f
Anschluss finden 	 to make friends/connections 	 Es kann schon schwierig sein, in einer neuen Stadt Anschluss zu finden. 	 	 v expr
der Antrag 	 application, request 	 Ich beziehe mich auf Ihr Schreiben bezüglich eines Antrages auf Mieterwechsel. 	 	 n.m
das Arbeitspensum 	 workload 	 Ich kann mein Arbeitspensum leicht bewältigen. 	 	 n.nt
der Aufprall 	 impact, collision, crash 	 Beim Aufprall entstand an dem Fiat Totalschaden, geschätzt rund 5000 Euro. 	 	 n.m
die Aufteilung 	 distribution, division 	 Unsere Abteilung ist für die Aufteilung der Ressourcen verantwortlich. 	 	 n.f
der Aufwand 	 expense, cost, effort 	 Das Unternehmen erhöhte seinen Aufwand für Forschung und Entwicklung. 	 	 n.m
die Aufzeichnung 	 record, recording, logging 	 Mit dieser Kamera sind sowohl Aufzeichnung als auch Wiedergabe möglich. 	 	 n.f
der Ausfall 	 failure, malfunction 	 Der Ausfall einer Maschine kann zum Stillstand der Produktion führen. 	 	 n.m
die Ausgangssperre 	 curfew 	 Die Demonstranten widersetzten sich der Ausgangssperre. 	 	 n.f
das Ausmaß 	 extent, dimension 	 Glück war das Ausmaß des Schadens begrenzt. 	 	 n.nt
der Ausschuss 	 committee, board, panel 	 Der Auschuss überlegt, ob eine Revision des Gesetzes notwendig ist. 	 	 n.m
die Auswertung 	 evaluation, analysis 	 Die interne Auswertung kam zu dem Ergebnis, dass sich in der mittleren Leitungsebene eine hohe Zahl unterqualifizierter Mitarbeiter befinde. 	 	 n.f
die Auszeichnung 	 award, distinction 	 Der Gewinner des Wettbewerbs bekam eine Auszeichnung. 	 	 n.f

das Begehren 	 desire, wish 	 Er bot siner Frau alles, was sie begehrte. Diktatoren fallen häufig durch ein starkes Begehren nach Macht auf. 	 	 n.nt
das Begreifen 	 comprehension, understanding 	 Ich begriff endlich, was mein Lehrer meinte.<br>Sie kann komplexe Probleme begreifen und sie schnell lösen. 	 	 n.nt
der Belang 	 interest, concern 	 Die Nachrichten sind in der Augen der Journalisten interessant oder von persönlichem Belang. 	 	 n.m
die Belastbarkeit 	 capacity, resilience 	 Die Belastbarkeit dieses Materials verändert sich je nach Temperatur. 	 	 n.f
die Belegschaft 	 workforce, staff 	 Die Hälfte der Belegschaft des Unternehmens besteht aus Frauen. 	 	 n.f
das Benehmen 	 behavior, conduct 	 Das Benehmen meines Bruders ist manchmal komisch. 	 	 n.nt
die Berechtigung 	 right, entitlement, authorization 	 Berechtigung kann durch eine Systemadministratorin erteilt werden. 	 	 n.f
der Berufskraftfahrer 	 trucker 	 Er ist ein Berufskraftfahrer und arbeitet bei einer Spedition. 	 	 n.m
die Bestechung 	 bribery, corruption 	 Die neue Regierung versprach, Betrug und Bestechung zu bekämpfen. 	 	 n.f
der Betrug 	 fraud, deception<br>fraud, deception, scam 	 Dem Mann wurden Erpressung und Betrug vorgeworfen.<br>Der Angeklagte wurde wegen Betruges vor Gericht gestellt 	 	 n.m
der Bursche 	 guy, lad 	 Der Sohn meiner Freundin ist ein witziger Bursche. 	 	 n.m

der Empfänger 	 recipient, receiver 	 Dieses Jahr ist eine Schule der Empfänger unserer Spende. 	 	 n.m
die Entfaltung 	 unfolding, development 	 Die Entfaltung der drei Szenarien ist zunächst strukturiert durch einen Parameter auf der Eben der internationalen Beziehungen. 	 	 n.f
der Entwurf 	 design, sketch, concept 	 Sie zeichnet immer Entwürfe, bevor sie die Skulpturen modelliert. 	 	 n.m
die Ermittlung 	 determining, investigation 	 Die Polizei fand die Verbrecher nach gründlichen Ermittlungen. 	 	 n.f
die Erpressung 	 blackmail, extortion 	 Dem Mann wurde Erpressung und Betrug vorgeworfen. 	 	 n.f
die Erstellung 	 preparation, creation 	 Der Koch ist für die Erstellung neuer Rezepte zuständig. 	 	 n.f

die Falte 	 fold, crease, wrinkle 	 Jede Falte des Papierflugzeugs muss an der richtigen Stelle sein.<br>Er musste sein Hemd bügeln, weil es Falten hatte.<br>Cremes können Falten vorbeugen. 	 	 n.f

das Gesundheitswesen 	 healthcare 	 Prävention ist ein wesentliches Element des Gesundheitswesens. 	 	 n.nt
der Gipfel 	 summit, peak 	 Die Bergsteiger genossen die überwältigende Aussicht vom Gipfel. Zum Glück war er nicht mit Schnee bedeckt. 	 	 n.m

die Hemmung 	 inhibition, suspension 	 Es ist wichtig die Hemmung zu verlieren, um lockerer auf Deutsch zu sprechen. 	 	 n.f
die Hupe 	 horn, klaxon 	 Der Autofahrer betätigte die Hupe, um den Radfahrer zu warnen. 	 	 n.f

die Pfütze 	 puddle 	 Das Eis auf der Pfütze knackt, als ich darauf trat. 	 	 n.f
die Puppe 	 doll<br>cocoon 	 Das Unternehmen brauchte Puppen für die Crashtests.<br>Aus der hässlichen Puppe wird in den nächsten Tagen ein wunderschöner Schmetterling. 	 	 n.f

der Rahmenauftrag 	 blanket order, general 	 Bei einem Rahmenauftrag sind mehrere Liefertermine über einen Zeitraum erlaubt, um mit festen Preisen zu handeln, wenn 	 	 n.m
die Rückwaren 	 returned goods 	 Die Rückwaren-Logistik könnte noch optimiert werden. 	 	 n.f

die Schachtel 	 box, package, carton 	 Es gibt Schachteln mit zehn oder zwanzig Stück. 	 	 n.f
der Schädel 	 skull 	 Sicherheitshelme schützen den Schädel. 	 	 n.m
