der Knack | crack | | | n.m 

der Knecht | servant | | | n.m

der Lackierer | painter | | | n.m

der Liebhaber | fan, lover | | | n.m

der Lieferschein | delivery note/order | | | n.m

der Mangel | defect | | | n.m

die Nachfolge | succession, emulation | | | n.f

die Nachlässigkeit | negligence, carelessness | | | n.f

der Nachschlag | lookup | | | n.m

die Neigung | tendency | | | n.f

der Orkan | hurricane | | | n.m

der Pfad | path | | | n.m

der Zugriff | access | | | n.m

die Zustellung | service, delivery | | | n.f

der Zweifel | doubt, question | | | n.m



ablegen | to take (an exam) | | | v

absichern | to secure, to protect | | | v

andersrum | the other way around | | | adv 

angewiesen | instructed, dependent | | | adj 

anklemmen | to connect | | | v

anlegen | to create, to invest | | | v

aufgeregt | excited, nervous, agitated | | | adj 

aufrichtig | sincere, genuine, honest | | | adj 

aufrufen | to call, to invoke | | | v

aufwendig | expensive, elaborate | | | adj 

ausloten | to sound out, to sondar | | | v

ausmessen | to measure, to size | | | v

ausreichend | sufficient, adequate | | | adj 

bedürfen | to require, to need | | | v

beeinträchtigen | to affect, to impair, to compromise | | | v

behalten | to keep, to maintain | | | v

beheben | to remedy, to solve | | | v

beibehalten | to maintain | | | v

beliebig | arbitrary, random, optional | | | adj 

benötigen | to need, to require | | | v

bereichernd | rewarding | | | adj 

bestärken | to strengthen, to encourage | | | v

bestreuen | to sprinkle, to powder | | | v

bestürzt | schocked, appalled | | | adj 

bewahren | to maintain, to preserve, to keep | | | v

bewältigen | to cope, to overcome, to manage | | | v

bewirken | to cause, to bring about | | | v

bezeichnen | to call, to designate, to denote | | | v

beziehungsweise | rather/to be more precise | | | adv 

brüllen | to roar, to shout | | | v

demütig | humble | | | adj 

durchführen | bis Ende machen | | | v

durchschaubar | transparent | | | adj 

durchscheinend | translucid | | | adj 

durchsichtig | transparent | | | adj 

eingeschränkt | restricted, limited | | | adj 

einstellen | to set, to adjust, to cease, to stop | | | v

eklig | disgusting | | | adj 

entfachen | to spark, to ignite | | | v

entlasten | to relieve, to disburden | | | v

entziehen | to withdraw | | | v

erfordern | to require, to call for, to involve | | | v

ergeizig | ambitious, competitive | | | adj 

erheblich | considerable, substantial | | | adj 

erschöpft | exhausted | | | adj 

erstatten | to reimburse, to refund | | | v

erwerben | to acquire, to gain | | | v

erzwingen | to enforce, to constrain | | | v

fehlerhaft | incorrect, faulty | | | adj 

folgendermaßen | as follows | | | adv 

fordern | to demand, to request | | | v

fördern | to promote, to support | | | v

freigeben | to release | | | v

gegebenenfalls | if necessary, where | | | adv 

genehmigt | to approved, to authorized | | | v

geschickt | skillful, clever | | | adj 

getrost | confident, safe | | | adj 

gewährleisten | to ensure, to guarantee | | | v

gewidmet | dedicated, devoted | | | adj 

glatt | smooth, even, straight | | | adj 

gliedern | to divide, to structure, to order | | | v

herangezogen | pulled up, cultivated | | | adj 

jedoch | having said that, though | | | adv 

jeweils | in each case, respectively | | | adv 

keineswegs | by no means | | | adv 

kühn | bold | | | adj 

lediglich | only, solely | | | adj 

lückenlos | complete, gapless | | | adj 

nachträglich | belated, subsequent | | | adj 

nachvollziehen | to understand, to comprehend | | | v

ohnehin | already, anyway | | | adv 

pochen | to insist | | | v

redselig | talkative | | | adj 

schlank | elegant, slim | | | adj 

schnappen | to snap, to catch, to grab | | | v

schrumpfen | to shrink | | | v

sich mit etw befassen | sich mit etw. stark beschäftigen | | | v

stellenweise | in parts, here and there | | | adj 

umbiegen | to bend, to fold | | | v

umgehend | immediately | | | adj 

umstellen | to adjust, to adapt, to surround | | | v

ungeschickt | clumsy, unhandy | | | adj 

unmittelbar | direct, immediate | | | adj 

unvollständig | incomplete | | | adj 

verfassen | to write, to draft, to pen | | | v

verfluchen | to curse, to damn | | | v

vergeben | to award, to assign<br>to forgive | | | v

verheerend | devastating, disastrous | | | adj 

verlangen | to demand, to request, to claim | | | v

vermeintlich | supposed, alleged, presumed | | | adj 

verrutschen | to slip, to shift, to displace | | | v

verspüren | to feel | | | v

verstreichen | to pass, to elapse | | | v

verwerfen | to reject, to discard | | | v

verwüsten | to devastate, to ravage | | | v

verzahnen | to interlock, to interlink | | | v

vorerst | for the time being | | | adv 

vorliegen | to exist, to be there | | | v

vorwerfen | to accuse | | | v

weiterhin | furthermore, also, still | | | adv 

wettmachen | to offset, to compensate | | | v

widmen | to pay, to dedicate | | | v

wittern | to scent, to sniff, to smell | | | v

wortwörtlich | literal, word-for-word | | | adj 

zugänglich | accessible, open, approachable | | | adj 

zugehörig | belonging to, related | | | adj 

zumutbar | reasonable, acceptable | | | adj 

zuordnen | to assign sth to sb, to allocate | | | v

zutreffen | to apply, to be true | | | v



sich aus etw zusammensetzen

ich bin auf mich angewiesen.

abgedeckt

einfrieren

ausschweifendem

aufarbeitung

anständig

Lohnentwicklung

vorantreiben

fordern

konsteniert

dicht machen

ausweiten

das Wetter umschläht demnächst

der Spagat

funktionstüchtig

die ist in schewerem Fallwasser

vorwiegend

Bemühungen

stockend

Anerkennungsleistung

gewährleisten

beziehen

umfangreich

ausstellen

verzögern

anstossen

uberlagern

synodal

vorliegen

die Querung

aufspielen

behaupten

verwirklichen

abhacken

wackeln

der Ausfall

ersichtlicht

empfindlich

gequellt

aufklappen

durchkämmen

erfassbar

auslegbar

die Würde

grübeln

erörten

unschlüssig

grob

zerbrechlich

umrechnen

beschaltung

zusammenbasteln

Abwägung
Entbehrung
gerückt

fürstlich
einlegen
abweisen
Der Kutscher
Die Wirtin
vergönnen
Getier
unlängst
sich zutragen
zerren
unterbreiten
auf etw. eingehen

Umschlagplatz
vororten
einflussreich
vermeintlich
geschluckt
Mithaltung



zuschreiben
lindern
Trab
Verzehr

begehrt
Verzehr
ungenießbar
verdorben
übertünchen
rau

vertuschen
reiben
annähernd

Zeitgenossen
fade
welk
schal

aufschlagen | zwei aufgeschlagene Eier
würfeln | fünf klein gewürfelte Kartoffeln
wiegen | klein gewiegte
bestreichen

minderbemittelt
Vorlage
die Verrohung
die Himmelsrichtung
das Nachkommen

bei etw. besser abschneiden
etw aus sich halten

sich gegen einen Angriff wehren
sich gegen einen Angriff verteidigen
die Verteidigung

jdm unterlegen/überlegen sein
die Unterlegenheit/Überlegenheit

hervorheben
verblüffen
verlernen
vertreiben
imponieren
verpuffen
aufgreifen

nachhaken
häkeln
fingen
vorziehen
beruhen
darlegen
einspiegeln

winzig
abgelegen
entgegen
revidieren

die Verlegenheit

auf Biegen und Brechen

aufschlussreich
phrasenhaft
floskelhaft
akribisch

die Mappe
der Kommilitonen

der Nachlass
der Prospekt
die Gleitzeit
die Niederlagung
die Entlassung
der Geselle
die Begebenheit
der Spuk

der Albtraum
der Stolperstein
der Ernstfall
der Tücken
die Ausbeutung

gewähren
abmahnen
aushandeln
frankieren
zusammenstellen
aufsetzen
erbrechen

hüten
verstören
entzünden
sich entfalten

schmausen
streuen | breit gestreut

klappern
rösten
überrumpeln
raufen
schleudern
flüstern
verzetteln

angehend

schubsen
rauskitzeln
aushaften
beschnuppern

das Grundgesetzt
die Verfassung
die Absonderlichkeit
die Regung


Stumpen
Raunen
Despoten
Hohnlachen
Zipfel

friedfertig
feindselig
schier

abriegeln
presgeben
vermochten
anheimzufallen
sich erwidern
johlen - yell
pfiffen - whistle
rufen - cry, shout
winken

feindlich gesinnt
nicht nachgeben
vorbestimmt
