alarde 	 ostentação, aparato, vanglória 	 	 	 n.m
amolar 	 afiar no rebolo, amolgar 	 	 	 v
amover 	 fazer desaparecer, afastar 	 	 	 v
amovível 	 temporário 	 	 	 adj
ancilóstomo 	 parasita do intestino delgado 	 	 	 n.m
antinomia 	 contradição entre duas ideias, proposições ou princípios racionais 	 	 	 n.f
ascese 	 busca do aperfeiçoamento espiritual através do afastamento do mundo e da renúncia aos prazeres associados à vida terrena 	 	 	 n.f
atávico 	 relativo a atavismo 	 	 	 adj
atavismo 	 semelhança com os antepassados 	 	 	 n.m
avareza 	 Apego ao dinheiro, mesquinhez 	 	 	 n.f
avidez 	 desejo ardente e insaciável 	 	 	 n.f

basto 	 compacto, espesso, cheio 	 	 	 adj

catalepsia 	 imobilidade e inércia de todo o corpo 	 	 	 n.f
categórico 	 decisivo, claro, explícito, terminante 	 	 	 adj
celofane 	 folha plástica muito fina 	 	 	 n.m
centelha 	 faísca 	 	 	 n.f
chavelho 	 corno, chifre 	 Não vale um chavelho! 	 	 n.m
clangor 	 som de trompeta, tinir de armas 	 	 	 n.m
convir 	 ser conveniente, útil, concordar, aceitar, corresponder 	 	 	 v
copioso 	 abundante, numeroso 	 	 	 adj

debalde 	 inutilmente, em vão 	 	 	 adj
decídua 	 o que fica no útero e é expulso depois do parto 	 	 	 n.f
decíduo 	 breve, efémero 	 	 	 adj
decoro 	 Respeito de si mesmo e pelos outros, decência 	 	 	 n.m
deleite 	 prazer suave e demorado 	 	 	 n.m
depredação 	 roubo, saque, grande estrago 	 	 	 n.f
depurar 	 tornar-se puro, purificar-se, limpa-se, tornar-se melhor nalguma coisa 	 	 	 v
desaforo 	 escândalo, insolência, petulância, contrário a decoro 	 	 	 n.m
desapiedado 	 sem piedade, desumano, cruel 	 	 	 adj

encarniçar 	 assanhar, incitar, perseguir com fúria e ódio, enfurecer-se 	 	 	 v
enriçado 	 emaranhado, confuso 	 	 	 adj
epiciclo 	 órbita circular que os planetas descreveriam em torno da Terra no geocentrismo 	 	 	 n.m
ermo 	 despovoado, isolado 	 	 	 adj
escamotear 	 fazer desaparecer, furtar com destreza, empalmar, encobrir, esconder 	 	 	 v
esmeril 	 pedra dura que, reduzida a pó, serve para polir, aperfeiçoamento 	 	 	 n.m
estacar 	 segurar com estacas, fazer parar 	 	 	 v
exaurir 	 acabar, consumir, esgotar, esvaziar 	 	 	 v

grassar 	 alastrar-se, desenvolver-se 	 	 	 v

hirsuto 	 que tem pêlos longos e bastos 	 	 	 adj

imperioso 	 autoritário, arrogante 	 	 	 adj
imprecar 	 suplicar, pedir veementemente, rogar pragas 	 	 	 v
imputar 	 atribuir a responsabilidade de algum acto 	 	 	 v
indolência 	 letargia, ócio, preguiça 	 	 	 n.f
indolente 	 ocioso, negligente 	 	 	 adj
inepto 	 inábil, tolo, absurdo 	 	 	 adj
inexaurível 	 inesgotável, muito abundante 	 	 	 adj
interino 	 provisório, que não é efetivo 	 	 	 adj

láudano 	 opiáceo, emprega-se para adormentar 	 	 	 adj
lenitivo 	 que alivia, acalma, conforta 	 	 	 adj
lesto 	 ágil, ligeiro 	 	 	 adj
letárgico 	 dormente, apático, insensível 	 	 	 adj
lograr 	 gozar a posse de, conseguir, enganar 	 	 	 v
lúbrico 	 escorregadio, sensual 	 	 	 adj
lucubrar 	 trabalhar com luz artificial de noite, dedicar-se a trabalhos intelectuais 	 	 	 v
lúgubre 	 relativo a luto, fúnebre 	 	 	 adj

macaréu 	 onda do mar que avança pelo rio acima 	 	 	 n.m
morganático 	 casamento de pessoa nobre com outra de condição inferior 	 	 	 adj
multifário 	 que apresenta vários aspectos 	 	 	 adj

níveo 	 referente à neve, da cor da neve 	 	 	 adj

penoso 	 que dá pena, aflige 	 	 	 adj
pétreo 	 tipo pedra 	 	 	 adj
planturoso 	 crescido, volumoso, abundante, copioso 	 	 	 adj
prédica 	 discurso religioso, discurso, pedido, prece, súplica 	 	 	 n.f
premente 	 que preme ou comprime, compressor, aflitivo, angustiante, urgente, imediato 	 	 	 adj
profiláctico 	 preventivo, relativo à profilaxia 	 	 	 adj
profilaxia 	 conjunto de providências que se tomam para prevenir doença/contágio 	 	 	 n.f
profuso 	 abundante, copioso 	 	 	 adj
prolixo 	 expresso por muitas palavras, difuso, superabundante, extenso, fastidioso, enfadonho 	 	 	 adj
puerícia 	 infância 	 	 	 n.f
pueril 	 relativo a puerícia, que pertence ou diz respeito às crianças, infantil, imaturo, ingénuo 	 	 	 adj

rácico 	 racial 	 	 	 adj
rebolo 	 pequena mó para amolar objectos 	 	 	 n.m
refulgir 	 brilhar intensamente, resplandecer 	 	 	 v
repleção 	 estado do que é/está repleto 	 	 	 n.f
roçagar 	 roçar pelo chão, arrastar-se 	 	 	 v

sofreguidão 	 ansiedade, impaciência, ambição imoderada 	 	 	 n.f

tartamudear 	 gaguejar, não falar claro, atrapalhar-se 	 	 	 v
títere 	 boneco como marioneta, palhaço 	 	 	 n.m
tramitar 	 seguir os trâmites 	 	 	 v
trâmite 	 caminho com direcção determinada, senda, via, fase de um processo, etapa 	 	 	 n.m

vacuidade 	 estado de vácuo, intelectualmente vazio 	 	 	 n.f
velar 	 estar de vigia a, estar de guarda a, proteger, fazer serão prolongado, tapar 	 	 	 v
vespertino 	 relativo à tarde 	 	 	 adj
voluptuoso 	 dado a deleites, sensual, libidinoso, lascivo 	 	 	 adj
voracidade 	 apetite devorador, desejo de consumir/destruir 	 	 	 n.f
